,Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimNb,ClaimAmount,ClaimOcc
0,0.07318506584330042,2.7053659834276047,2,3,0,1,1,1437.1621382947162,1
1,0.09681777459180729,1.6770199852148826,2,6,1,3,0,0.0,0
2,0.12137061158362794,1.0773203893609968,2,1,0,1,0,0.0,0
3,0.9823764216795017,0.9813853581674433,1,1,1,6,0,0.0,0
4,0.29096751361079976,2.1057388025724646,4,2,1,5,0,0.0,0
5,0.6371996720316536,4.259153672554431,2,8,1,2,0,0.0,0
6,0.2783563377785594,1.0120424845287996,3,3,0,5,0,0.0,0
7,0.8636585290265864,1.9407617162507627,3,2,0,4,0,0.0,0
8,0.31882350380380475,0.7112882390404789,3,1,1,3,0,0.0,0
9,0.09946734493477799,0.6919363748663792,3,8,1,0,0,0.0,0
10,0.0020843708210112055,2.589165586614534,4,3,0,3,0,0.0,0
11,0.2215754504316028,1.2704960630828612,1,6,0,1,0,0.0,0
12,0.5656136962251093,0.633829410025307,3,3,1,3,0,0.0,0
13,0.552683486522799,1.6566934451699034,1,6,0,4,0,0.0,0
14,0.8707058885340102,0.8441545766085362,1,1,0,6,0,0.0,0
15,0.5690024225956105,1.6306989592233558,2,6,0,4,0,0.0,0
16,0.3087991190816763,0.6057771611849159,3,6,1,4,0,0.0,0
17,0.5045027691438814,2.6192285408265916,2,6,0,2,0,0.0,0
18,0.759204307361796,1.7048536584638692,4,1,0,4,0,0.0,0
19,0.3391012608035675,0.90225356118488,3,6,1,1,0,0.0,0
20,0.0,1.3324811544333726,1,6,1,1,0,0.0,0
21,0.5730729463289815,0.8075084275059856,3,6,1,2,0,0.0,0
22,0.38011811505255644,2.7436790380400775,2,3,1,4,0,0.0,0
23,0.33286338792874953,3.1311029127988927,1,3,0,4,0,0.0,0
24,0.39603410451658816,1.4164634473040374,3,2,1,3,0,0.0,0
25,0.2095103464644164,1.3593778805710928,1,6,0,5,0,0.0,0
26,0.22129029470262673,3.9652621039365124,2,9,1,1,0,0.0,0
27,0.20189174113758235,1.0659543874006512,1,6,1,5,0,0.0,0
28,0.6947280152756373,1.542971445895673,1,1,1,4,0,0.0,0
29,0.1954687096319659,2.7145718150776004,4,6,0,1,0,0.0,0
30,0.5300557881770769,1.1856192072992164,3,2,0,2,0,0.0,0
31,0.7507803838818183,4.759455047436877,4,3,0,1,0,0.0,0
32,0.30658678740890755,1.5191695800437162,1,6,1,5,0,0.0,0
33,0.5527202739695621,0.3220180735599325,3,6,0,2,0,0.0,0
34,0.2107158321542953,1.8423517901167508,3,3,1,4,0,0.0,0
35,0.16699555221846812,1.60325761503398,2,6,0,4,0,0.0,0
36,0.821763064042979,1.2974816935289768,3,3,0,3,0,0.0,0
37,0.23378270268053022,1.5334101349734826,3,2,1,1,0,0.0,0
38,0.8849182083944502,1.5646702822793408,3,3,0,3,0,0.0,0
