,OwnerAge,Area,RiskClass,VehAge,BonusClass,Exposure,ClaimNb,ClaimAmount,ClaimOcc
0,39.687172,2,5,17.075556,2,0.65348333,0.0,0.0,0
1,36.674854,5,2,14.893484,3,0.15073377,0.0,0.0,0
2,44.290554,3,2,16.037638,7,0.91937387,0.0,0.0,0
3,29.624458,3,5,6.118011,3,0.21954662,0.0,0.0,0
4,59.3265,2,3,14.515406,7,0.7202435,0.0,0.0,0
5,29.800049,3,2,14.72062,2,0.784634,0.0,0.0,0
6,53.222176,4,4,15.41201,4,0.8134678,0.0,0.0,0
7,42.27689,1,2,10.650883,5,0.5541762,0.0,0.0,0
8,33.519203,3,3,10.313208,2,0.47785816,0.0,0.0,0
9,39.225353,2,3,11.055881,5,0.9398808,1.0,573.6626,1
10,33.42772,4,2,13.6743965,3,0.25093922,0.0,0.0,0
11,37.6388,3,3,6.986687,3,0.78515655,0.0,0.0,0
12,37.185726,4,2,12.0584135,2,0.856063,0.0,0.0,0
13,34.44434,3,5,10.461807,3,0.6490508,1.0,5728.5776,1
14,56.4107,3,3,6.4803405,6,0.9548708,0.0,0.0,0
15,28.879211,3,2,13.466247,3,0.7107192,0.0,0.0,0
16,36.454323,2,3,14.125011,3,0.81902885,0.0,0.0,0
17,50.055206,3,2,16.193846,4,0.87578225,0.0,0.0,0
18,36.617546,2,5,4.767206,4,0.10506654,0.0,0.0,0
19,43.00305,3,5,14.080041,4,0.9116688,0.0,0.0,0
20,45.26638,4,6,9.137041,5,0.8424597,0.0,0.0,0
21,39.4962,3,5,13.397837,3,0.58579636,0.0,0.0,0
22,46.033592,3,2,16.412193,6,0.93244547,0.0,0.0,0
23,52.386276,3,2,14.114495,5,0.6764918,0.0,0.0,0
24,56.026478,3,4,13.615743,5,0.8747749,0.0,0.0,0
25,46.84283,1,2,16.223013,5,0.4071652,0.0,0.0,0
26,37.952606,2,5,16.968052,3,0.66283,0.0,0.0,0
27,26.172882,4,4,9.436436,2,0.800582,1.0,14729.156,1
28,50.184242,3,2,7.939745,7,0.8840352,0.0,0.0,0
29,33.62381,3,5,8.040115,2,0.72536117,0.0,0.0,0
30,49.995728,2,2,5.3577895,7,0.8919739,0.0,0.0,0
31,51.868755,3,3,15.584158,6,0.9520611,0.0,0.0,0
32,45.449577,4,2,8.185919,6,0.83723813,0.0,0.0,0
33,28.14823,2,4,5.2096705,3,0.7401552,0.0,0.0,0
34,48.659966,3,4,14.904649,7,0.99558985,0.0,0.0,0
35,47.826393,3,4,19.238583,1,0.9475133,0.0,0.0,0
36,52.202408,3,5,15.944463,5,0.85088223,0.0,0.0,0
37,59.80281,3,5,16.355835,6,0.79703903,0.0,0.0,0
38,37.564384,3,3,4.2716737,3,0.3972888,0.0,0.0,0
39,32.02683,2,2,12.50945,4,0.8454428,0.0,0.0,0
40,45.27131,3,3,6.7972965,3,0.21849558,0.0,0.0,0
41,48.854416,3,4,14.57934,4,0.9055255,0.0,0.0,0
42,35.028126,3,2,11.004342,6,0.9133775,0.0,0.0,0
43,55.24312,3,3,7.4000325,5,0.91452706,0.0,0.0,0
44,41.526115,2,3,3.0994406,4,0.60873204,0.0,0.0,0
45,33.395653,3,5,7.709593,3,0.8579406,0.0,0.0,0
46,34.30027,3,3,14.010404,4,0.9967803,0.0,0.0,0
47,47.349854,3,2,6.222662,6,0.6892444,0.0,0.0,0
48,65.30371,3,5,12.926401,6,0.38585585,0.0,0.0,0
49,44.655964,2,2,17.17672,4,0.67062306,0.0,0.0,0
50,41.161125,2,3,5.3770685,4,0.9106361,0.0,0.0,0
51,31.436558,3,2,5.770126,5,0.79870784,0.0,0.0,0
52,29.114086,4,2,18.816414,2,0.5443997,0.0,0.0,0
53,35.75341,3,5,12.083998,2,0.7043727,0.0,0.0,0
54,25.725918,2,3,5.9299474,3,0.9760472,0.0,0.0,0
55,52.416504,3,4,15.376701,3,0.74297905,0.0,0.0,0
56,49.321564,4,2,8.580772,5,0.14732492,0.0,0.0,0
57,53.000736,2,4,9.515671,4,0.6913403,0.0,0.0,0
58,57.566597,4,4,15.516132,6,0.933577,0.0,0.0,0
59,46.53386,2,2,7.6341066,4,0.61465085,0.0,0.0,0
60,52.62776,3,2,5.8135796,4,0.5486139,0.0,0.0,0
61,28.919819,4,2,14.104295,4,0.20145509,0.0,0.0,0
62,25.2543,3,2,10.090797,4,0.7438761,0.0,0.0,0
63,34.098045,3,4,10.069934,2,0.92409545,0.0,0.0,0
64,42.277645,3,2,8.155971,6,0.9178645,0.0,0.0,0
65,53.15583,3,5,10.047683,6,0.91405094,0.0,0.0,0
66,33.858288,4,4,17.333553,1,0.2154916,0.0,0.0,0
67,54.640217,4,2,7.173175,5,0.511259,0.0,0.0,0
68,50.344322,3,3,15.533098,3,0.80900705,0.0,0.0,0
69,37.970707,5,2,5.591994,3,0.45048925,0.0,0.0,0
70,46.70723,2,3,13.655452,5,0.91640323,0.0,0.0,0
71,51.324005,4,5,11.7648945,3,0.64268875,0.0,0.0,0
72,45.29566,5,5,17.342773,2,0.8836561,0.0,0.0,0
73,45.769783,2,2,11.056716,6,0.90688765,0.0,0.0,0
74,49.421688,3,2,13.718718,6,0.89036775,0.0,0.0,0
75,41.813652,5,4,13.229567,3,0.061839163,0.0,0.0,0
76,39.560368,3,2,8.956066,4,0.8265817,0.0,0.0,0
77,49.100105,3,2,3.976469,5,0.9151391,0.0,0.0,0
78,39.288002,2,2,16.023228,4,0.78816825,0.0,0.0,0
79,44.044487,3,4,10.650432,3,0.91852254,0.0,0.0,0
80,26.613117,4,2,9.63912,2,0.62547374,0.0,0.0,0
81,34.920258,3,6,17.160484,3,0.84644616,0.0,0.0,0
82,48.613136,3,3,14.850547,2,0.801129,0.0,0.0,0
83,39.155266,3,3,13.866539,2,0.93325526,0.0,0.0,0
84,24.054796,3,2,14.160774,1,0.8964536,0.0,0.0,0
85,28.994408,2,5,6.376098,3,0.5084853,0.0,0.0,0
86,29.104843,3,2,6.311248,3,0.5169169,0.0,0.0,0
87,32.066,3,3,10.590592,2,0.7739918,0.0,0.0,0
88,24.490662,2,4,8.943578,3,0.8539079,0.0,0.0,0
89,43.078224,3,2,14.765209,2,0.66769654,0.0,0.0,0
90,39.724014,4,3,1.0049372,5,0.33603337,0.0,0.0,0
91,40.52671,2,5,0.0,7,0.72985923,0.0,0.0,0
92,55.87597,3,5,10.257186,7,0.89921045,0.0,0.0,0
93,54.400745,3,4,12.551395,5,0.81946003,0.0,0.0,0
94,29.707996,2,3,10.983488,2,0.47549674,0.0,0.0,0
95,33.947388,3,2,6.628259,3,0.2780151,0.0,0.0,0
96,41.072372,2,2,15.218443,3,0.3803778,0.0,0.0,0
97,43.939888,2,3,10.364329,6,0.99409884,0.0,0.0,0
98,42.43292,4,2,4.3870344,4,0.38942775,0.0,0.0,0
99,48.24913,2,3,15.738238,4,0.854802,0.0,0.0,0
100,23.185001,2,7,9.0963335,4,0.39137423,0.0,0.0,0
101,48.443726,3,2,8.809421,5,0.90275526,0.0,0.0,0
102,32.212097,2,5,3.7895646,3,0.4946288,0.0,0.0,0
103,23.770983,2,3,12.832389,2,0.9198964,0.0,0.0,0
104,51.398514,2,3,14.003887,6,0.90916306,0.0,0.0,0
105,46.044395,4,2,7.427839,3,0.5628655,0.0,0.0,0
106,25.065395,3,3,11.536829,2,0.6397129,0.0,0.0,0
107,41.204376,3,2,3.7345862,3,0.5793008,0.0,0.0,0
108,44.506496,4,5,12.923315,3,0.74522114,0.0,0.0,0
109,59.21746,2,3,10.0718565,4,0.39308533,0.0,0.0,0
110,53.56558,3,4,9.54272,3,0.41719434,0.0,0.0,0
111,43.444267,2,4,8.367592,6,0.9707748,0.0,0.0,0
112,40.282753,5,2,7.5732546,6,0.8094183,0.0,0.0,0
113,50.094063,3,5,13.605156,4,0.4425983,0.0,0.0,0
114,22.798565,3,6,15.579693,2,0.6876218,0.0,0.0,0
115,29.60492,2,5,9.445332,3,0.7237288,0.0,0.0,0
116,36.56521,3,4,9.917549,2,0.3756856,0.0,0.0,0
117,20.235147,5,4,7.210098,2,0.24693483,0.0,0.0,0
118,35.763557,3,3,10.256017,2,0.33565578,0.0,0.0,0
119,49.521973,2,3,18.93106,6,0.93560684,0.0,0.0,0
120,44.768044,3,2,18.046925,3,0.95660365,0.0,0.0,0
121,51.390526,3,2,15.559634,6,0.9307504,0.0,0.0,0
122,43.086937,2,2,8.343681,5,0.9209771,0.0,0.0,0
123,29.6546,2,2,3.5055223,4,0.62481016,0.0,0.0,0
124,38.60756,3,4,9.300989,3,0.3292786,0.0,0.0,0
125,44.39493,5,3,4.825117,7,0.96848094,0.0,0.0,0
126,49.230556,2,3,11.968974,3,0.35835382,0.0,0.0,0
127,38.821823,4,5,1.9597292,5,0.785432,0.0,0.0,0
128,30.56464,3,3,8.7749195,2,0.15842956,0.0,0.0,0
